conditions	block	sample1	sample2	height	blur	lighting
64	1	7	15	0	3	0
65	1	9	15	0	4	1
98	1	12	21	1	3	0
107	1	18	22	3	5	1
114	1	20	23	2	13	1
44	1	10	11	0	6	1
22	1	1	8	2	1	1
38	1	9	10	4	12	1
105	1	13	22	4	5	1
5	1	2	3	0	5	1
3	1	0	3	1	9	1
76	1	5	17	2	0	1
67	1	11	15	0	1	0
85	1	14	18	2	14	0
28	1	7	8	1	7	0
100	1	15	21	1	7	0
17	1	3	7	3	7	0
4	1	1	3	2	12	0
23	1	2	8	3	3	1
73	1	12	16	3	2	1
32	1	8	9	3	7	0
27	1	6	8	4	7	0
51	1	8	13	0	14	0
91	1	17	19	1	5	1
7	1	1	4	0	7	1
75	1	15	16	4	4	1
68	1	12	15	0	4	1
106	1	17	22	4	9	1
20	1	6	7	0	0	0
80	1	15	17	1	3	0
93	1	14	20	2	13	0
48	1	11	12	4	10	1
72	1	10	16	2	14	0
30	1	6	9	2	2	1
74	1	14	16	2	7	0
49	1	5	13	3	8	0
96	1	18	20	3	2	0
63	1	5	15	3	5	0
77	1	11	17	2	8	1
36	1	7	10	4	9	1
110	1	21	22	0	10	0
45	1	5	12	1	12	0
121	1	23	24	2	5	1
13	1	3	6	1	3	0
122	1	18	25	3	6	1
9	1	1	5	0	12	0
37	1	8	10	0	11	0
46	1	9	12	0	2	1
50	1	7	13	3	3	1
84	1	13	18	3	14	0
1	1	0	2	3	2	1
83	1	12	18	4	13	1
78	1	12	17	3	12	1
41	1	6	11	3	13	0
103	1	19	21	4	10	1
86	1	15	18	3	9	0
123	1	22	25	3	1	0
70	1	14	15	2	3	1
102	1	17	21	1	0	0
15	1	5	6	1	3	0
61	1	12	14	2	9	0
119	1	20	24	0	8	0
