conditions,block,sample1,sample2,height,blur,lighting
75,1,15,17,1,8,1
60,1,12,14,3,14,0
109,1,21,23,4,5,1
74,1,14,17,2,11,0
62,1,9,15,2,13,0
21,1,5,8,4,4,0
83,1,16,19,4,5,1
36,1,1,11,1,4,1
6,1,3,4,4,7,1
19,1,0,8,0,13,0
17,1,4,7,2,12,1
71,1,9,17,2,0,0
85,1,18,19,0,0,1
108,1,20,23,3,9,0
34,1,8,10,1,1,1
66,1,9,16,1,3,0
33,1,6,10,1,14,1
25,1,4,9,2,11,0
13,1,3,6,4,2,0
81,1,17,18,3,2,1
40,1,8,11,2,13,0
105,1,21,22,0,14,0
22,1,6,8,1,3,0
20,1,2,8,0,11,1
77,1,7,18,2,3,0
7,1,1,5,2,13,0
8,1,2,5,2,3,0
79,1,12,18,4,7,1
82,1,15,19,0,10,0
63,1,11,15,0,3,1
16,1,1,7,4,14,0
11,1,1,6,0,11,0
117,1,22,24,0,13,0
55,1,5,14,2,0,1
47,1,11,12,3,0,0
122,1,21,25,0,2,0
14,1,4,6,4,10,0
39,1,7,11,2,4,1
76,1,16,17,2,8,1
89,1,16,20,1,14,0
123,1,22,25,0,11,0
54,1,1,14,4,3,1
94,1,17,21,0,12,0
56,1,6,14,0,2,0
115,1,20,24,1,14,0
18,1,6,7,2,3,1
110,1,22,23,3,9,1
32,1,5,10,4,12,0
72,1,10,17,2,12,1
10,1,4,5,3,14,0
50,1,9,13,0,7,1
27,1,7,9,1,14,1
69,1,14,16,3,7,1
61,1,13,14,1,11,0
38,1,6,11,3,14,1
57,1,9,14,2,10,1
121,1,20,25,4,3,0
104,1,20,22,2,8,1
12,1,2,6,0,11,1
65,1,14,15,3,11,1
4,1,2,3,2,5,1
91,1,19,20,0,3,1
