conditions,block,sample1,sample2,height,blur,lighting
123,1,22,25,0,8,1
16,1,3,6,0,12,0
46,1,10,11,0,12,0
87,1,13,19,1,6,1
124,1,23,25,4,12,1
67,1,11,15,0,12,1
43,1,7,11,2,3,1
34,1,5,9,1,3,0
21,1,2,7,3,3,0
48,1,9,12,2,6,0
76,1,15,16,4,13,0
9,1,1,5,2,7,1
64,1,6,15,3,3,0
41,1,9,10,2,9,1
92,1,13,20,2,7,0
116,1,22,24,4,11,1
24,1,5,7,2,12,0
18,1,5,6,2,6,1
57,1,12,13,4,13,0
107,1,17,23,3,2,0
25,1,6,7,3,12,1
102,1,20,21,1,6,1
86,1,12,19,0,12,1
117,1,23,24,0,9,1
81,1,16,17,2,10,1
45,1,9,11,1,9,1
37,1,8,9,4,0,1
11,1,3,5,1,7,0
52,1,2,13,2,14,1
36,1,7,9,0,11,1
32,1,2,9,3,2,1
13,1,0,6,0,2,1
50,1,11,12,1,3,0
26,1,2,8,4,3,0
69,1,13,15,0,14,1
99,1,13,21,2,3,0
74,1,11,16,4,11,1
118,1,12,25,4,2,1
77,1,9,17,1,6,0
85,1,17,18,2,2,0
49,1,10,12,2,7,1
2,1,1,2,1,1,1
40,1,8,10,3,14,1
56,1,11,13,4,13,1
44,1,8,11,2,4,1
17,1,4,6,0,4,1
14,1,1,6,4,0,0
120,1,15,25,0,6,0
105,1,20,22,0,4,0
103,1,13,22,1,11,1
89,1,15,19,1,7,0
101,1,19,21,4,13,0
7,1,3,4,3,9,1
95,1,16,20,2,8,0
59,1,9,14,3,5,1
111,1,22,23,1,3,1
8,1,0,5,3,11,0
80,1,15,17,3,9,1
1,1,0,2,2,3,1
84,1,16,18,3,0,0
10,1,2,5,2,4,1
121,1,20,25,0,5,1
