conditions,block,sample1,sample2,height,blur,lighting
334,3,38,40,1,12,1
79,3,6,14,1,6,1
271,3,27,34,0,1,0
33,3,7,8,4,8,0
145,3,11,21,0,8,1
299,3,32,37,0,13,0
144,3,8,21,0,4,1
182,3,10,25,0,11,0
53,3,6,11,1,4,1
245,3,28,31,1,3,0
164,3,11,23,4,1,0
47,3,8,10,4,4,1
235,3,26,30,2,7,0
275,3,32,34,0,9,1
202,3,23,26,3,7,0
204,3,25,26,1,9,1
5,3,2,3,1,9,1
90,3,9,15,2,1,1
214,3,19,28,0,1,0
186,3,16,25,4,8,1
315,3,23,39,0,8,1
247,3,30,31,4,7,1
94,3,13,15,4,13,0
205,3,14,27,2,12,1
119,3,9,18,3,14,1
96,3,0,16,2,5,1
165,3,14,23,1,5,0
187,3,17,25,0,14,0
129,3,13,19,4,3,0
158,3,18,22,1,7,0
132,3,16,19,1,5,1
229,3,13,30,1,0,0
238,3,29,30,1,6,0
323,3,37,39,3,1,0
10,3,0,5,1,13,1
318,3,32,39,0,12,1
195,3,15,26,0,4,1
253,3,29,32,3,12,0
282,3,30,35,4,5,0
185,3,14,25,3,12,0
287,3,17,36,4,3,0
292,3,32,36,4,8,1
230,3,16,30,3,0,1
313,3,37,38,3,3,0
149,3,16,21,1,12,0
177,3,19,24,0,11,0
274,3,31,34,0,2,0
21,3,0,7,3,6,0
25,3,4,7,2,0,0
30,3,3,8,1,11,1
268,3,23,34,2,10,1
62,3,7,12,2,14,0
261,3,28,33,3,10,0
143,3,19,20,3,5,1
104,3,13,16,1,2,1
72,3,7,13,3,8,1
198,3,19,26,0,7,1
321,3,35,39,2,8,0
49,3,0,11,1,13,0
312,3,36,38,0,3,1
170,3,22,23,1,6,0
69,3,4,13,2,5,0
134,3,18,19,0,14,1
234,3,25,30,1,6,0
256,3,15,33,2,6,1
255,3,31,32,1,11,0
269,3,24,34,3,13,1
98,3,5,16,3,9,1
89,3,8,15,1,1,1
66,3,11,12,4,5,0
314,3,21,39,1,0,1
77,3,12,13,0,10,1
339,3,33,41,1,10,1
291,3,31,36,1,3,0
23,3,2,7,1,10,1
45,3,6,10,3,2,0
65,3,10,12,0,0,0
320,3,34,39,0,13,1
103,3,12,16,4,2,0
194,3,12,26,2,3,0
191,3,22,25,2,8,1
142,3,17,20,3,7,0
34,3,0,9,1,13,1
171,3,8,24,1,12,1
0,3,0,1,4,9,0
102,3,11,16,2,12,0
317,3,31,39,2,12,0
123,3,14,18,1,3,1
249,3,24,32,4,0,1
221,3,16,29,1,8,0
156,3,16,22,0,0,0
38,3,7,9,1,1,1
197,3,18,26,4,8,1
126,3,17,18,0,1,1
330,3,34,40,3,12,1
139,3,14,20,1,10,0
86,3,2,15,3,4,1
148,3,15,21,2,8,1
48,3,9,10,1,2,1
272,3,29,34,1,12,1
58,3,0,12,0,5,0
111,3,14,17,0,9,0
266,3,21,34,0,3,1
248,3,20,32,2,6,0
163,3,10,23,1,14,1
35,3,2,9,3,2,0
288,3,21,36,0,6,0
260,3,27,33,3,10,0
140,3,15,20,0,0,0
179,3,21,24,0,11,1
284,3,32,35,4,7,1
137,3,12,20,1,7,0
87,3,4,15,1,4,1
211,3,24,27,1,7,1
84,3,12,14,0,3,1
