conditions,block,sample1,sample2,height,blur,lighting
233,1,23,30,0,0,1
212,1,25,27,1,1,1
303,1,36,37,4,3,0
24,1,3,7,0,0,0
100,1,8,16,1,11,0
293,1,33,36,4,12,1
277,1,23,35,3,11,1
16,1,1,6,3,1,1
168,1,20,23,2,8,0
9,1,3,4,3,5,1
125,1,16,18,1,14,1
12,1,2,5,2,1,0
93,1,12,15,0,0,0
240,1,16,31,1,2,1
236,1,27,30,0,13,1
178,1,20,24,2,6,1
118,1,8,18,1,7,1
332,1,36,40,0,5,0
308,1,29,38,4,1,1
81,1,8,14,2,8,0
294,1,34,36,2,2,0
222,1,19,29,1,2,1
37,1,5,9,3,0,1
328,1,32,40,1,3,1
40,1,0,10,0,1,1
152,1,19,21,0,4,0
71,1,6,13,1,4,0
130,1,14,19,1,14,0
75,1,10,13,1,3,1
68,1,2,13,4,13,0
6,1,0,4,0,0,0
337,1,31,41,3,14,0
265,1,17,34,3,7,1
42,1,3,10,0,9,0
3,1,0,3,4,0,0
59,1,2,12,1,0,0
302,1,35,37,1,2,0
209,1,21,27,0,1,1
173,1,13,24,0,12,0
206,1,17,27,1,12,0
73,1,8,13,1,11,0
192,1,23,25,3,13,0
326,1,21,40,4,13,1
224,1,22,29,2,7,1
147,1,13,21,3,13,0
278,1,25,35,1,11,1
122,1,13,18,0,4,1
300,1,33,37,4,10,1
15,1,0,6,1,8,0
338,1,32,41,1,10,1
166,1,17,23,0,13,0
114,1,2,18,1,12,0
259,1,26,33,0,6,0
226,1,26,29,3,0,1
316,1,28,39,1,14,1
264,1,32,33,1,4,0
196,1,17,26,4,4,1
135,1,0,20,2,8,0
161,1,21,22,2,7,1
74,1,9,13,4,11,1
327,1,28,40,3,6,0
61,1,6,12,2,6,1
101,1,10,16,4,9,1
210,1,23,27,3,1,0
199,1,20,26,1,3,1
88,1,7,15,4,1,0
190,1,21,25,0,14,0
322,1,36,39,2,9,1
60,1,5,12,4,8,1
106,1,15,16,0,2,0
46,1,7,10,3,11,0
175,1,17,24,0,6,0
131,1,15,19,0,9,0
304,1,24,38,1,9,0
208,1,20,27,4,11,0
80,1,7,14,4,8,0
91,1,10,15,3,6,0
225,1,23,29,0,12,1
133,1,17,19,1,4,1
203,1,24,26,3,5,1
257,1,20,33,4,10,0
297,1,29,37,0,14,0
70,1,5,13,3,0,1
281,1,28,35,3,7,1
41,1,1,10,1,8,1
276,1,33,34,3,9,1
169,1,21,23,3,0,1
146,1,12,21,3,12,0
29,1,2,8,4,12,1
31,1,5,8,3,3,1
215,1,22,28,3,0,1
232,1,22,30,4,7,1
55,1,8,11,1,11,0
105,1,14,16,1,5,0
150,1,17,21,2,4,0
157,1,17,22,3,13,1
155,1,13,22,1,13,0
252,1,28,32,2,3,1
154,1,7,22,4,3,1
289,1,23,36,0,8,1
267,1,22,34,2,7,0
258,1,25,33,1,3,1
251,1,27,32,4,2,0
141,1,16,20,2,6,1
136,1,9,20,3,0,0
201,1,22,26,3,13,0
217,1,25,28,3,13,0
193,1,24,25,2,10,1
28,1,1,8,0,10,1
63,1,8,12,3,2,0
78,1,3,14,2,11,1
99,1,7,16,2,7,1
27,1,6,7,3,11,0
183,1,11,25,0,8,1
216,1,23,28,4,8,0
